Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR955860,NGDC,2024-11-23,fastq,CRR955860_f1.fq.gz|CRR955860_r2.fq.gz,2115435744|2233638505,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955860/CRR955860_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955860/CRR955860_r2.fq.gz,CRX866999,LGB1,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189187,Metagenome or environmental sample,749906,gut metagenome,LGB1,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955844,NGDC,2024-11-23,fastq,CRR955844_f1.fq.gz|CRR955844_r2.fq.gz,1617115099|1693268953,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955844/CRR955844_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955844/CRR955844_r2.fq.gz,CRX867015,M011,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189203,Metagenome or environmental sample,749906,gut metagenome,M011,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955842,NGDC,2024-11-23,fastq,CRR955842_f1.fq.gz|CRR955842_r2.fq.gz,1922690438|1955288420,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955842/CRR955842_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955842/CRR955842_r2.fq.gz,CRX867017,M013,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189205,Metagenome or environmental sample,749906,gut metagenome,M013,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955811,NGDC,2024-11-23,fastq,CRR955811_f1.fq.gz|CRR955811_r2.fq.gz,2142107905|2249947647,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955811/CRR955811_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955811/CRR955811_r2.fq.gz,CRX867048,N27,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189251,Metagenome or environmental sample,749906,gut metagenome,N27,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955861,NGDC,2024-11-23,fastq,CRR955861_f1.fq.gz|CRR955861_r2.fq.gz,1863891690|1980184167,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955861/CRR955861_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955861/CRR955861_r2.fq.gz,CRX866998,LGA9,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189186,Metagenome or environmental sample,749906,gut metagenome,LGA9,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955799,NGDC,2024-11-23,fastq,CRR955799_f1.fq.gz|CRR955799_r2.fq.gz,2090024120|2227724186,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955799/CRR955799_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955799/CRR955799_r2.fq.gz,CRX867060,N08,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189237,Metagenome or environmental sample,749906,gut metagenome,N08,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955871,NGDC,2024-11-23,fastq,CRR955871_f1.fq.gz|CRR955871_r2.fq.gz,2201254719|2299509995,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955871/CRR955871_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955871/CRR955871_r2.fq.gz,CRX866988,LC002,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189176,Metagenome or environmental sample,749906,gut metagenome,LC002,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955851,NGDC,2024-11-23,fastq,CRR955851_f1.fq.gz|CRR955851_r2.fq.gz,1597328215|1622705244,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955851/CRR955851_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955851/CRR955851_r2.fq.gz,CRX867008,M003,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189196,Metagenome or environmental sample,749906,gut metagenome,M003,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955833,NGDC,2024-11-23,fastq,CRR955833_f1.fq.gz|CRR955833_r2.fq.gz,1651857588|1749915689,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955833/CRR955833_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955833/CRR955833_r2.fq.gz,CRX867026,M025,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189214,Metagenome or environmental sample,749906,gut metagenome,M025,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955823,NGDC,2024-11-23,fastq,CRR955823_f1.fq.gz|CRR955823_r2.fq.gz,1692203547|1758191658,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955823/CRR955823_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955823/CRR955823_r2.fq.gz,CRX867036,M043,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189224,Metagenome or environmental sample,749906,gut metagenome,M043,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955805,NGDC,2024-11-23,fastq,CRR955805_f1.fq.gz|CRR955805_r2.fq.gz,2281618892|2347193318,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955805/CRR955805_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955805/CRR955805_r2.fq.gz,CRX867054,N15,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189243,Metagenome or environmental sample,749906,gut metagenome,N15,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955866,NGDC,2024-11-23,fastq,CRR955866_f1.fq.gz|CRR955866_r2.fq.gz,2318850888|2376127132,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955866/CRR955866_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955866/CRR955866_r2.fq.gz,CRX866993,LGA4,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189181,Metagenome or environmental sample,749906,gut metagenome,LGA4,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955859,NGDC,2024-11-23,fastq,CRR955859_f1.fq.gz|CRR955859_r2.fq.gz,2069727440|2100989543,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955859/CRR955859_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955859/CRR955859_r2.fq.gz,CRX867000,LGB2,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189188,Metagenome or environmental sample,749906,gut metagenome,LGB2,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955838,NGDC,2024-11-23,fastq,CRR955838_f1.fq.gz|CRR955838_r2.fq.gz,1682224374|1803652947,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955838/CRR955838_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955838/CRR955838_r2.fq.gz,CRX867021,M020,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189209,Metagenome or environmental sample,749906,gut metagenome,M020,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955802,NGDC,2024-11-23,fastq,CRR955802_f1.fq.gz|CRR955802_r2.fq.gz,2061743502|2138921434,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955802/CRR955802_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955802/CRR955802_r2.fq.gz,CRX867057,N21,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189248,Metagenome or environmental sample,749906,gut metagenome,N21,CRA013605,Shanghai Jiaotong University School of Medicine
